brand,make,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive,age,country
Citroen,C3,1699,215000,M,4/5,0,50,1199.0,petrol,0,VAR,2,0,HB,3,F,15,French
Mercedes,A 140,1350,185000,M,4/5,0,60,1398.0,petrol,1,GR,2,0,HB,3,F,19,German
Škoda,Fabia,4750,168263,M,4/5,1,54,1598.0,diesel,0,VAR,3,0,SW,5,F,8,EU
Renault,Modus,3499,240000,M,4/5,0,60,1500.0,diesel,0,WH,2,0,HB,5,F,9,French
BMW,318,4900,267000,M,4/5,0,90,1995.0,diesel,0,VAR,2,0,SDN,4,B,15,German
Fiat,500,5500,124000,M,2/3,0,51,1242.0,petrol,0,BL,2,0,HB,5,F,9,Italian
Citroen,C3,4900,151000,M,4/5,1,49,1398.0,diesel,0,VAR,3,0,HB,5,F,6,French
VW,Passat,9999,207000,M,4/5,0,105,1599.0,diesel,0,VAR,4,0,SW,4,F,7,German
Fiat,Punto,820,200000,M,4/5,0,59,1242.0,petrol,1,WH,0,0,HB,3,F,19,Italian
Škoda,Fabia,3700,244000,M,4/5,0,51,1398.0,diesel,0,VAR,2,0,HB,4,F,10,EU
VW,Passat,8199,220000,M,4/5,0,103,1989.0,diesel,0,GR,4,0,SW,3,F,8,German
Peugeot,3008,5799,202000,M,4/5,0,81,1600.0,diesel,0,BL,2,0,VAN,4,F,10,French
Škoda,Octavia,1400,304000,M,4/5,0,81,1900.0,diesel,1,GR,4,0,SW,3,F,18,EU
Audi,A4,13000,171000,M,4/5,0,88,2000.0,diesel,0,GR,4,0,SDN,6,F,6,German
Renault,Scenic,2600,224000,M,4/5,1,110,1988.0,diesel,1,VAR,4,0,HB,3,F,14,French
VW,Golf 5,3750,20013,M,4/5,0,66,1900.0,diesel,1,BL,4,0,HB,4,F,16,German
VW,Golf 6,5490,193176,M,4/5,0,89,1390.0,petrol,0,GR,3,0,SDN,5,F,11,German
Renault,Megane,1350,275000,M,4/5,0,75,1870.0,diesel,1,GR,2,0,HB,3,F,19,French
Mercedes,CLK 220,11500,157000,M,2/3,0,110,2148.0,diesel,0,VAR,4,0,SDN,3,B,14,German
Opel,Vectra,870,255000,M,4/5,0,85,1798.0,LPG,0,GR,2,0,SW,2,F,22,German
Opel,Corsa,1860,11500,M,4/5,0,55,1188.0,petrol,1,GR,2,0,HB,4,F,17,German
Opel,Astra,2999,175000,M,2/3,0,74,1698.0,diesel,1,BL,2,0,CP,3,F,15,German
Alfa Romeo,147,1499,189000,M,4/5,0,85,1900.0,diesel,0,VAR,2,0,HB,3,F,18,Italian
Opel,Astra,900,182000,M,4/5,0,74,1995.0,petrol,1,GR,3,0,SW,3,F,18,German
BMW,320,4700,209000,A,4/5,1,120,1995.0,diesel,0,VAR,4,0,SW,3,B,13,German
Audi,80,650,234567,M,4/5,0,66,1781.0,LPG,0,VAR,1,0,SDN,1,F,30,German
Opel,Corsa,2990,180000,M,2/3,0,66,1258.0,diesel,1,VAR,4,0,CP,4,F,13,German
Alfa Romeo,147,1890,174000,M,4/5,0,88,1900.0,diesel,1,GR,2,0,SDN,4,F,12,Italian
Opel,Corsa,1250,150000,M,2/3,0,40,1000.0,petrol,0,WH,0,0,HB,3,F,20,German
Fiat,Stilo,1600,158000,M,4/5,0,85,1910.0,diesel,1,GR,4,0,SW,3,F,16,Italian
